UserName,RecommendedHotel,predicted_rating
Hai,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",10.659299
Hai,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.622317
Giang,"Chung cư 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (snail ocean view apartmen hotel)",11.898749
Giang,HANZ Panorama Grand Residencé,11.229713
Giang,Chung cư studio 40 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Free Motorbike - 1st Floor Apartment-TV w/ Netflix),11.168913
Giang,HANZ Muong Thanh Vien Trieu Condo Hotel,11.018662
Giang,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.937735
Giang,Khách Sạn Hướng Biển Aqua (Aqua Seaview Hotel),10.928417
Khoa,HANZ Panorama Grand Residencé,11.444215
Khoa,Chung cư studio 40 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Free Motorbike - 1st Floor Apartment-TV w/ Netflix),11.259218
Khoa,HANZ Muong Thanh Vien Trieu Condo Hotel,11.2406645
Khoa,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.525605
Khoa,InterContinental Residences Nha Trang,10.511008
Trung,Panorama Center Ocean View,11.208498
Trung,HANZ Panorama Grand Residencé,11.169486
Trung,HANZ Muong Thanh Vien Trieu Condo Hotel,10.951675
Trung,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.731734
Trung,Gold Coast Hotel Nha Trang,10.406554
Dung,Gold Coast Hotel Nha Trang,11.668677
Dung,Chung cư studio 40 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Free Motorbike - 1st Floor Apartment-TV w/ Netflix),10.994133
Dung,The Pool Villa Cam Ranh - All Private Pool Villas,10.725754
Dung,Residence Inn Villa Cam Ranh,10.600383
Dung,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",10.558178
Thanh,HANZ Panorama Grand Residencé,11.361709
Thanh,HANZ Muong Thanh Vien Trieu Condo Hotel,11.166092
Thanh,The Arena Cam Ranh Beach seaside,11.134137
Thanh,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",11.001805
Thanh,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.24196
Thanh,Khách sạn Long Hồ (Long Hồ Hotel),10.215048
Thanh,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),10.154591
Thanh,"Căn hộ 38 m² 1 phòng ngủ, 1 phòng tắm riêng ở Biển Bãi Dài (BLISS Seafront Apartment near Cam Ranh Airport)",10.066375
Khanh,Chung cư studio 40 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Free Motorbike - 1st Floor Apartment-TV w/ Netflix),11.703845
Khanh,HANZ Panorama Grand Residencé,11.687034
Khanh,HANZ Muong Thanh Vien Trieu Condo Hotel,11.473532
Khanh,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),11.144839
Yến,Chung cư studio 40 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Free Motorbike - 1st Floor Apartment-TV w/ Netflix),11.545402
Yến,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),11.438542
Yến,The Arena Cam Ranh Beach seaside,11.087239
Yến,Khách sạn Long Hồ (Long Hồ Hotel),10.968496
Yến,Nomad Apartment,10.949801
Yến,Panorama Center Ocean View,10.947485
uyen,HANZ Panorama Grand Residencé,11.639235
uyen,HANZ Muong Thanh Vien Trieu Condo Hotel,11.434958
uyen,Panorama Center Ocean View,11.011303
uyen,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",11.000049
uyen,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.852841
uyen,Gold Coast Hotel Nha Trang,10.783545
uyen,HÀO PHÁT HOTEL NHA TRANG,10.677568
Tung,"Chung cư 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (snail ocean view apartmen hotel)",11.153596
Tung,HANZ Panorama Grand Residencé,11.060252
Tung,HANZ Muong Thanh Vien Trieu Condo Hotel,10.871803
Tung,InterContinental Residences Nha Trang,10.647874
Tung,Khách Sạn Hướng Biển Aqua (Aqua Seaview Hotel),10.611944
Tung,HÀO PHÁT HOTEL NHA TRANG,10.565008
Tâm,HANZ Panorama Grand Residencé,12.384121
Tâm,HANZ Muong Thanh Vien Trieu Condo Hotel,12.213896
Tâm,HÀO PHÁT HOTEL NHA TRANG,10.324555
Tâm,The Arena Cam Ranh Beach seaside,9.954147
Tâm,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",9.930864
Tâm,Khách sạn Gibson Nha Trang (GIBSON HOTEL NHA TRANG),9.8760395
Tâm,Holi Anna Boutique Hotel,9.805886
Thành,HANZ Panorama Grand Residencé,12.12299
Thành,HANZ Muong Thanh Vien Trieu Condo Hotel,11.919128
Thành,Panorama Center Ocean View,11.190753
Thành,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.494822
Thành,InterContinental Residences Nha Trang,10.437277
Thành,HÀO PHÁT HOTEL NHA TRANG,10.315864
LE,Panorama Center Ocean View,11.519548
LE,HANZ Panorama Grand Residencé,10.732356
LE,The Arena Cam Ranh Beach seaside,10.710948
LE,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.595583
LE,HANZ Muong Thanh Vien Trieu Condo Hotel,10.511928
LE,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),10.386156
phú,HANZ Panorama Grand Residencé,11.08805
phú,Panorama Center Ocean View,10.888302
phú,HANZ Muong Thanh Vien Trieu Condo Hotel,10.873519
phú,HÀO PHÁT HOTEL NHA TRANG,10.3865595
phú,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.3854065
Oanh,HANZ Panorama Grand Residencé,12.237714
Oanh,HANZ Muong Thanh Vien Trieu Condo Hotel,12.03201
Oanh,Khách sạn Gibson Nha Trang (GIBSON HOTEL NHA TRANG),11.632867
Oanh,HÀO PHÁT HOTEL NHA TRANG,11.488228
Oanh,Chung cư studio 40 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Free Motorbike - 1st Floor Apartment-TV w/ Netflix),11.405822
Duyen,HANZ Panorama Grand Residencé,11.6296835
Duyen,HANZ Muong Thanh Vien Trieu Condo Hotel,11.419405
Duyen,Panorama Center Ocean View,11.186604
Duyen,The Arena Cam Ranh Beach seaside,10.981268
Duyen,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.941676
Duyen,HÀO PHÁT HOTEL NHA TRANG,10.781626
viet,Panorama Center Ocean View,12.02735
viet,HANZ Panorama Grand Residencé,11.5080385
viet,HANZ Muong Thanh Vien Trieu Condo Hotel,11.288445
viet,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.614671
viet,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)",10.503028
Do,HANZ Panorama Grand Residencé,11.456969
Do,HANZ Muong Thanh Vien Trieu Condo Hotel,11.2442045
Do,Chung cư studio 40 m² có 1 phòng tắm riêng ở Vĩnh Hòa (Free Motorbike - 1st Floor Apartment-TV w/ Netflix),10.99475
Do,Panorama Center Ocean View,10.842291
Do,"Căn hộ 42 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hải (Luxury apartment sea view 28 floor Scenia Bay)",10.542018
Trần,HANZ Panorama Grand Residencé,11.796117
Trần,HANZ Muong Thanh Vien Trieu Condo Hotel,11.579041
Trần,Panorama Center Ocean View,11.487064
Trần,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),11.044395
Trần,Vinpearl Luxury Nha Trang,10.826129
Trần,Khách sạn Gibson Nha Trang (GIBSON HOTEL NHA TRANG),10.820178
LÊ,Gold Coast Hotel Nha Trang,11.378268
LÊ,Residence Inn Villa Cam Ranh,10.759662
LÊ,HANZ Panorama Grand Residencé,10.719651
LÊ,HANZ Muong Thanh Vien Trieu Condo Hotel,10.522934
LÊ,The Arena Cam Ranh Beach seaside,10.441286
LÊ,Căn hộ studio 1100 m² có 1 phòng tắm riêng ở Vĩnh Phước (MCR Apartments Nha Trang),10.424966
LÊ,Rosemary Home @ Bai Dai Beach Nha Trang,10.259706
Dũng,HANZ Panorama Grand Residencé,12.194586
Dũng,HANZ Muong Thanh Vien Trieu Condo Hotel,11.99958
Dũng,HÀO PHÁT HOTEL NHA TRANG,11.083603
Dũng,The Arena Cam Ranh Beach seaside,11.0386
Dũng,InterContinental Residences Nha Trang,10.564146
Nguyên,Panorama Center Ocean View,11.93065
Nguyên,Gold Coast Hotel Nha Trang,11.392459
Nguyên,HANZ Panorama Grand Residencé,11.288569
Nguyên,HANZ Muong Thanh Vien Trieu Condo Hotel,11.058781
Nguyên,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),10.962579
